population,access_rate,beta,pfprunder5,pfpr2to10,pfprall
20.0,0.755,0.001,0.0,0.0,0.0
20.0,0.755,0.005,0.0,0.0,0.0
20.0,0.755,0.01,0.0,0.0,0.0
20.0,0.755,0.0125,0.0,0.0,0.0
20.0,0.755,0.015,0.0,0.0,0.0
20.0,0.755,0.02,0.0,0.0,0.0
20.0,0.755,0.03,0.0,0.0,0.0
20.0,0.755,0.04,0.0,0.0,0.0
20.0,0.755,0.05,0.0,0.0,0.0
20.0,0.755,0.1,0.042321729196729184,0.04116071428571428,0.029480363106875202
20.0,0.755,0.15,0.07305224867724867,0.07421984265734266,0.047000624034365224
20.0,0.755,0.2,0.19565521284271284,0.17889963624338626,0.133040723636988
20.0,0.755,0.25,0.41438462000962,0.3556023606023606,0.272987939338452
20.0,0.755,0.3,0.4166968795093795,0.3574719724719725,0.2651943716870312
20.0,0.755,0.4,0.5964282592407593,0.4836461530027706,0.3605640080393936
20.0,0.755,0.5,0.5996314911939912,0.5290437802937802,0.3828365396482115
20.0,0.755,0.6,0.617033602971103,0.5249349088411588,0.40453585244547147
20.0,0.755,0.8,0.6981288734413734,0.5891654022720199,0.43791949685910875
20.0,0.755,1.0,0.7713612874734197,0.6860191088867559,0.5115644430609994
20.0,0.783,0.001,0.0,0.0,0.0
20.0,0.783,0.005,0.0,0.0,0.0
20.0,0.783,0.01,0.0,0.0,0.0
20.0,0.783,0.0125,0.0,0.0,0.0
20.0,0.783,0.015,0.0,0.0,0.0
20.0,0.783,0.02,0.0,0.0,0.0
20.0,0.783,0.03,0.0006993006993006994,0.0005809294871794872,0.0013462475633528267
20.0,0.783,0.04,0.0,0.0,0.0
20.0,0.783,0.05,0.0,0.0,0.0
20.0,0.783,0.1,0.08659558034558033,0.07811078405312151,0.0642760351437347
20.0,0.783,0.15,0.13071924603174603,0.12708017676767674,0.089660081204928
20.0,0.783,0.2,0.18116940929440928,0.14055761489972016,0.11033311628745066
20.0,0.783,0.25,0.32242598836348835,0.2732478516853517,0.20930448026508924
20.0,0.783,0.3,0.47189877252377255,0.42231529976015264,0.31568326690685194
20.0,0.783,0.4,0.5287975739538239,0.4639296430013342,0.3347161592411313
20.0,0.783,0.5,0.6412015068265068,0.5121372493247492,0.40021859788170244
20.0,0.783,0.6,0.6729034614730242,0.5526304822628352,0.42075140883492884
20.0,0.783,0.8,0.7651253607503608,0.6405320051000197,0.49017156852229116
20.0,0.783,1.0,0.7669354345273464,0.6823420938402556,0.5186486718689926
20.0,0.787,0.001,0.0,0.0,0.0
20.0,0.787,0.005,0.0,0.0,0.0
20.0,0.787,0.01,0.0,0.0,0.0
20.0,0.787,0.0125,0.0,0.0,0.0
20.0,0.787,0.015,0.0,0.0,0.0
20.0,0.787,0.02,0.0,0.0,0.0
20.0,0.787,0.03,0.0,0.0,0.0
20.0,0.787,0.04,0.0,0.0,0.0
20.0,0.787,0.05,0.0,0.0,0.0
20.0,0.787,0.1,0.09634920634920634,0.0901780511155511,0.07345730040738392
20.0,0.787,0.15,0.19030568968068967,0.15965123996373995,0.127587369688242
20.0,0.787,0.2,0.22184758528508527,0.19791366925558102,0.15112179281402774
20.0,0.787,0.25,0.3459552831427831,0.3197678132053132,0.24763679101961947
20.0,0.787,0.3,0.4674194150756651,0.3823275260959084,0.302468787543003
20.0,0.787,0.4,0.4551310726310726,0.4133016173641174,0.3163868866866549
20.0,0.787,0.5,0.6534808709808709,0.5648082010582011,0.40275775767614325
20.0,0.787,0.6,0.6253695979194238,0.5518493835069922,0.4147974090335059
20.0,0.787,0.8,0.7113002044252044,0.641047286047286,0.4735042152525675
20.0,0.787,1.0,0.7744197584822585,0.6474678215303216,0.5092923741044864
20.0,0.847,0.001,0.0,0.0,0.0
20.0,0.847,0.005,0.0,0.0,0.0
20.0,0.847,0.01,0.0,0.0,0.0
20.0,0.847,0.0125,0.0,0.0,0.0
20.0,0.847,0.015,0.0,0.0,0.0
20.0,0.847,0.02,0.0,0.0,0.0
20.0,0.847,0.03,0.0,0.0,0.0
20.0,0.847,0.04,0.0,0.0,0.0
20.0,0.847,0.05,0.0,0.0,0.0
20.0,0.847,0.1,0.04038525132275132,0.039861111111111104,0.027740536313196024
20.0,0.847,0.15,0.10308694777444775,0.10292861652236651,0.0863759212755117
20.0,0.847,0.2,0.2533329748954749,0.2171608195045695,0.16523711759719092
20.0,0.847,0.25,0.2938630351130351,0.26335331335331336,0.1871602836159642
20.0,0.847,0.3,0.4640190596440596,0.44218845968845966,0.31567247676403287
20.0,0.847,0.4,0.5482287157287157,0.47253885003885,0.36476706824856964
20.0,0.847,0.5,0.6496676587301587,0.5720765808265809,0.4176136588336747
20.0,0.847,0.6,0.6637542839105339,0.5723002807377807,0.4371199035175059
20.0,0.847,0.8,0.7515209434206145,0.643256983348895,0.49873680024497363
20.0,0.847,1.0,0.7663434944684945,0.6561532030741589,0.4988683857440887
30.0,0.451,0.001,0.0,0.0,0.0
30.0,0.451,0.005,0.0,0.0,0.0
30.0,0.451,0.01,0.0,0.0,0.0
30.0,0.451,0.0125,0.0,0.0,0.0
30.0,0.451,0.015,0.0,0.0,0.0
30.0,0.451,0.02,0.0,0.0,0.0
30.0,0.451,0.03,0.0,0.0,0.0
30.0,0.451,0.04,0.010300925925925925,0.006547619047619047,0.005340348442799877
30.0,0.451,0.05,0.012407407407407405,0.01129281949934124,0.007938798509919198
30.0,0.451,0.1,0.11517691254823607,0.09910325405772076,0.08282284163674201
30.0,0.451,0.15,0.28678311272061274,0.2327469233767608,0.19056442892095643
30.0,0.451,0.2,0.41812032398429455,0.3309145705193499,0.26360594833659834
30.0,0.451,0.25,0.4587071724571724,0.3733560549035588,0.2794606310325647
30.0,0.451,0.3,0.6285968198468199,0.48543011590805707,0.3561596293964008
30.0,0.451,0.4,0.7397279611835532,0.5838803435126965,0.4173301830743058
30.0,0.451,0.5,0.7576556776556777,0.643360273985274,0.4530090579505218
30.0,0.451,0.6,0.7712202265327266,0.5766362746050245,0.44111060506715544
30.0,0.451,0.8,0.8246172288359788,0.6966192834942835,0.4918090802020395
30.0,0.451,1.0,0.8598296957671957,0.6946652537277538,0.513064465473953
30.0,0.486,0.001,0.0,0.0,0.0
30.0,0.486,0.005,0.0,0.0,0.0
30.0,0.486,0.01,0.0,0.0,0.0
30.0,0.486,0.0125,0.0,0.0,0.0
30.0,0.486,0.015,0.0,0.0,0.0
30.0,0.486,0.02,0.0,0.0,0.0
30.0,0.486,0.03,0.0,0.0,0.0
30.0,0.486,0.04,0.024956881568723673,0.02647085857612173,0.022674760841002096
30.0,0.486,0.05,0.0,0.0,0.0
30.0,0.486,0.1,0.16707241427732913,0.14487507589732823,0.11895057748090807
30.0,0.486,0.15,0.36735056678071387,0.30427607190281336,0.24460638116186736
30.0,0.486,0.2,0.4524088993114728,0.37671825213185506,0.28758537185514466
30.0,0.486,0.25,0.5676265796109062,0.48577816329267565,0.35964266310762716
30.0,0.486,0.3,0.6477584143117231,0.5394879986714352,0.41221754843657854
30.0,0.486,0.4,0.6486462842712842,0.5319061378436378,0.3857853658020229
30.0,0.486,0.5,0.773537666037666,0.6068047812073547,0.4313339336590511
30.0,0.486,0.6,0.766570157210637,0.6144881276131275,0.4568140239856461
30.0,0.486,0.8,0.7898859126984127,0.6552694932382432,0.48293196477793554
30.0,0.486,1.0,0.7938768060643061,0.6690707267269767,0.4833625395640129
30.0,0.561,0.001,0.0,0.0,0.0
30.0,0.561,0.005,0.0,0.0,0.0
30.0,0.561,0.01,0.0,0.0,0.0
30.0,0.561,0.0125,0.0,0.0,0.0
30.0,0.561,0.015,0.0,0.0,0.0
30.0,0.561,0.02,0.0,0.0,0.0
30.0,0.561,0.03,0.0,0.0,0.0
30.0,0.561,0.04,0.0,0.0,0.0
30.0,0.561,0.05,0.010467171717171717,0.013507672882672883,0.009414640591966174
30.0,0.561,0.1,0.17422611012926414,0.14614716601123334,0.11521587554644826
30.0,0.561,0.15,0.3368384798072298,0.25988048631866356,0.20132461716880662
30.0,0.561,0.2,0.33889084295334293,0.2946056952306952,0.22270519926056626
30.0,0.561,0.25,0.4462406291750332,0.3674065545021427,0.2773083081971957
30.0,0.561,0.3,0.507867049495339,0.4360227313357151,0.31222448419072474
30.0,0.561,0.4,0.668035298035298,0.5515450348262848,0.4078190871998347
30.0,0.561,0.5,0.7134848185046521,0.5867819452470188,0.4240912076286536
30.0,0.561,0.6,0.7410440485440486,0.6169130869130869,0.44012447598024246
30.0,0.561,0.8,0.8003877603877603,0.7179212107337107,0.48204057226159475
30.0,0.561,1.0,0.8274592537092538,0.6859527465317907,0.5134171762528936
30.0,0.603,0.001,0.0,0.0,0.0
