population,access_rate,beta,pfpr2to10
50.0,0.75,0.4,37.065513785543025
50.0,0.75,0.5,42.54730737369626
50.0,0.75,0.6,43.7686561501921
50.0,0.75,0.8,54.41525280577568
50.0,0.75,1.0,55.36543040563508
50.0,0.8,0.001,0.0
50.0,0.8,0.005,0.0
50.0,0.8,0.01,0.0
50.0,0.8,0.0125,0.0
50.0,0.8,0.015,0.0
50.0,0.8,0.02,0.0
50.0,0.8,0.03,0.0
50.0,0.8,0.04,0.0
50.0,0.8,0.05,1.0684891240446794
50.0,0.8,0.1,3.5931069958847726
50.0,0.8,0.15,29.377558154970433
50.0,0.8,0.2,23.519238418843567
50.0,0.8,0.25,33.60790138653916
50.0,0.8,0.3,28.474589303407672
50.0,0.8,0.4,44.09754997786044
50.0,0.8,0.5,42.833485406482
50.0,0.8,0.6,47.17202966181725
50.0,0.8,0.8,59.835083742462494
50.0,0.8,1.0,59.55846033051916
50.0,0.85,0.001,0.0
50.0,0.85,0.005,0.0
50.0,0.85,0.01,0.0
50.0,0.85,0.0125,0.0
50.0,0.85,0.015,0.0
50.0,0.85,0.02,0.0
50.0,0.85,0.03,0.0
50.0,0.85,0.04,0.0
50.0,0.85,0.05,0.11574074074074076
50.0,0.85,0.1,9.785402708841822
50.0,0.85,0.15,22.17800027311551
50.0,0.85,0.2,23.1980849690258
50.0,0.85,0.25,27.409924558617366
50.0,0.85,0.3,28.736821326153112
50.0,0.85,0.4,30.704604037937372
50.0,0.85,0.5,44.374958880892834
50.0,0.85,0.6,42.57141187199443
50.0,0.85,0.8,52.26664926968075
50.0,0.85,1.0,56.43025041105106
50.0,0.9,0.001,0.0
50.0,0.9,0.005,0.0
50.0,0.9,0.01,0.0
50.0,0.9,0.0125,0.0
50.0,0.9,0.015,0.0
50.0,0.9,0.02,0.0
50.0,0.9,0.03,0.0
50.0,0.9,0.04,0.0
50.0,0.9,0.05,0.0
50.0,0.9,0.1,1.971099887766554
50.0,0.9,0.15,10.839318331148398
50.0,0.9,0.2,17.673389609664117
50.0,0.9,0.25,30.996597583607386
50.0,0.9,0.3,35.09502122602435
50.0,0.9,0.4,36.20952341368579
50.0,0.9,0.5,42.23784449586393
50.0,0.9,0.6,45.63678508858715
50.0,0.9,0.8,46.46253823337157
50.0,0.9,1.0,60.70393687346302
50.0,0.95,0.001,0.0
50.0,0.95,0.005,0.0
50.0,0.95,0.01,0.0
50.0,0.95,0.0125,0.0
50.0,0.95,0.015,0.0
50.0,0.95,0.02,0.0
50.0,0.95,0.03,0.0
50.0,0.95,0.04,0.0
50.0,0.95,0.05,0.0
50.0,0.95,0.1,10.019726479994798
50.0,0.95,0.15,17.246369921056026
50.0,0.95,0.2,26.112136670898664
50.0,0.95,0.25,29.888557015287283
50.0,0.95,0.3,29.16909592369688
50.0,0.95,0.4,42.36127535667346
50.0,0.95,0.5,38.79543691968443
50.0,0.95,0.6,49.40533841946381
50.0,0.95,0.8,56.073897506164634
50.0,0.95,1.0,55.94110750281201
75.0,0.5,0.001,0.0
75.0,0.5,0.005,0.0
75.0,0.5,0.01,0.0
75.0,0.5,0.0125,0.0
75.0,0.5,0.015,0.0
75.0,0.5,0.02,0.0
75.0,0.5,0.03,0.0
75.0,0.5,0.04,0.0
75.0,0.5,0.05,0.0
75.0,0.5,0.1,12.065183259647334
75.0,0.5,0.15,25.254776926837245
75.0,0.5,0.2,31.752858517066166
75.0,0.5,0.25,37.680745444641815
75.0,0.5,0.3,34.29818430545218
75.0,0.5,0.4,43.09093578258338
75.0,0.5,0.5,47.1680606471142
75.0,0.5,0.6,46.721509974415255
75.0,0.5,0.8,50.36227639351564
75.0,0.5,1.0,52.87322137468337
75.0,0.55,0.001,0.0
75.0,0.55,0.005,0.0
75.0,0.55,0.01,0.0
75.0,0.55,0.0125,0.0
75.0,0.55,0.015,0.0
75.0,0.55,0.02,0.0
75.0,0.55,0.03,0.0
75.0,0.55,0.04,1.1225230833073967
75.0,0.55,0.05,1.48936224127795
75.0,0.55,0.1,18.253049476276892
75.0,0.55,0.15,21.553144769398763
75.0,0.55,0.2,28.267824860102124
75.0,0.55,0.25,32.360284340432514
75.0,0.55,0.3,35.64124746233057
75.0,0.55,0.4,41.22597185688899
75.0,0.55,0.5,40.2840952022706
75.0,0.55,0.6,48.98546703824911
75.0,0.55,0.8,47.63479099080664
75.0,0.55,1.0,58.489803122478556
75.0,0.6,0.001,0.0
75.0,0.6,0.005,0.0
75.0,0.6,0.01,0.0
75.0,0.6,0.0125,0.0
75.0,0.6,0.015,0.0
75.0,0.6,0.02,0.0
75.0,0.6,0.03,0.0
75.0,0.6,0.04,1.4640669984872883
75.0,0.6,0.05,1.6535785738684288
75.0,0.6,0.1,14.6432067051421
75.0,0.6,0.15,20.420721168671516
75.0,0.6,0.2,31.067730307855342
75.0,0.6,0.25,26.6856685885897
75.0,0.6,0.3,41.89611449368071
75.0,0.6,0.4,38.54983803274237
75.0,0.6,0.5,41.7339984197641
75.0,0.6,0.6,48.66841575638183
75.0,0.6,0.8,54.81427705037601
75.0,0.6,1.0,57.61085607082339
75.0,0.65,0.001,0.0
75.0,0.65,0.005,0.0
75.0,0.65,0.01,0.0
75.0,0.65,0.0125,0.0
75.0,0.65,0.015,0.0
75.0,0.65,0.02,0.0
75.0,0.65,0.03,0.0
75.0,0.65,0.04,0.0
75.0,0.65,0.05,1.8689083820662766
75.0,0.65,0.1,11.953985373980352
75.0,0.65,0.15,17.92825521330928
75.0,0.65,0.2,22.52968440596505
75.0,0.65,0.25,30.68180716671055
75.0,0.65,0.3,33.03632134166454
75.0,0.65,0.4,39.07534185084233
75.0,0.65,0.5,42.20285417945716
75.0,0.65,0.6,43.52094281823496
75.0,0.65,0.8,53.02049091765505
75.0,0.65,1.0,63.067315095178884
75.0,0.7,0.001,0.0
75.0,0.7,0.005,0.0
75.0,0.7,0.01,0.0
75.0,0.7,0.0125,0.0
75.0,0.7,0.015,0.0
75.0,0.7,0.02,0.0
75.0,0.7,0.03,0.0
75.0,0.7,0.04,0.0
75.0,0.7,0.05,0.0
75.0,0.7,0.1,8.688291930339798
75.0,0.7,0.15,16.601712563068357
75.0,0.7,0.2,31.500275026704863
75.0,0.7,0.25,28.504553799780087
75.0,0.7,0.3,32.41104266965475
75.0,0.7,0.4,38.719185240142274
75.0,0.7,0.5,47.484099020295695
75.0,0.7,0.6,44.607611311327794
75.0,0.7,0.8,51.88344296250998
75.0,0.7,1.0,60.98435750568534
75.0,0.75,0.001,0.0
75.0,0.75,0.005,0.0
75.0,0.75,0.01,0.0
75.0,0.75,0.0125,0.0
75.0,0.75,0.015,0.0
75.0,0.75,0.02,0.0
75.0,0.75,0.03,0.0
75.0,0.75,0.04,0.0
75.0,0.75,0.05,0.0
75.0,0.75,0.1,17.277501224726628
75.0,0.75,0.15,22.923874834993413
75.0,0.75,0.2,22.793398378794823
